sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
2 - 1,ผบE.891/2566,123532,ที่ดินพร้อมสิ่งปลูกสร้าง,23.8,0,0,ไร่ขิง,สามพราน,นครปฐม,150000,ปลอดการจำนอง,1119835,2024-06-03,20240605,ขายได้,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,0,1119835,https://asset.led.go.th/PPKPicture/2567/01-2567/30/123532p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/123532j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.891&law_suit_year=2566&deed_no=123532&addrno=120/32
2 - 1,ผบ.7135/2563,14031,ห้องชุด,25.76,0,0,ศาลายา,พุทธมณฑล,นครปฐม,150000,ปลอดการจำนอง,1532720,2024-06-03,20240619,-,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,1,1379448,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c170-64p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c170-64j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.7135&law_suit_year=2563&deed_no=14031&addrno=170/64
2 - 1,ผบE.871/2564,72699,ที่ดินว่างเปล่า,43,2,2,บางปลา,บางเลน,นครปฐม,50000,ปลอดภาระผูกพัน,834400,2024-06-03,20240619,-,"['20240330', '20240417', '20240508', '20240529', '20240619', '20240710']",5,3,584080,https://asset.led.go.th/PPKPicture/2566/12-2566/26/72699p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/26/72699j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.871&law_suit_year=2564&deed_no=72699&addrno=-
2 - 2,ผบ.7135/2563,14031,ห้องชุด,25.76,0,0,ศาลายา,พุทธมณฑล,นครปฐม,150000,ปลอดการจำนอง,1532720,2024-06-03,20240619,-,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,1,1379448,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c170-64p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c170-64j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.7135&law_suit_year=2563&deed_no=14031&addrno=170/65
2 - 2,อ.516/2552,35282,ที่ดินว่างเปล่า,90,0,0,รางพิกุล,กำแพงแสน,นครปฐม,20000,ปลอดภาระผูกพัน,117000,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,117000,https://asset.led.go.th/newbid-old/img/null_aSset_pic.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/35960j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%CD.516&law_suit_year=2552&deed_no=35282&addrno=-
2 - 3,อ.516/2552,35304,ที่ดินว่างเปล่า,0,1,0,รางพิกุล,กำแพงแสน,นครปฐม,20000,ปลอดภาระผูกพัน,130000,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,130000,https://asset.led.go.th/newbid-old/img/null_aSset_pic.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/35960j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%CD.516&law_suit_year=2552&deed_no=35304&addrno=-
3 - 1,ผบ.4078/2556,64660,ที่ดินพร้อมสิ่งปลูกสร้าง,17.5,0,0,ศรีษะทอง,นครชัยศรี,นครปฐม,5000,การจำนองติดไป,761460,2024-06-03,20240612,-,"['20240228', '20240320', '20240410', '20240501', '20240521', '20240612']",6,3,533022,https://asset.led.go.th/PPKPicture/2566/11-2566/29/64660p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/29/64660j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4078&law_suit_year=2556&deed_no=64660&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
3 - 1,ผบE.733/2564,146579,ที่ดินว่างเปล่า,27.4,0,0,ตาก้อง,เมืองนครปฐม,นครปฐม,5000,การจำนองติดไป,686280,2024-06-03,20240619,ขายได้,"['20240330', '20240417', '20240508', '20240529', '20240619', '20240710']",5,0,686280,https://asset.led.go.th/PPKPicture/2566/12-2566/26/146579p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/26/146579j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.733&law_suit_year=2564&deed_no=146579&addrno=-
3 - 1,พE.154/2565,62796,ที่ดินพร้อมสิ่งปลูกสร้าง,46,2,0,ไร่ขิง,สามพราน(ตลาดใหม่),นครปฐม(นครชัยศรี),1000000,ปลอดการจำนอง,20803074,2024-06-03,20240605,งดขายในนัดที่เหลือ,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,0,20803074,https://asset.led.go.th/PPKPicture/2567/01-2567/30/62796p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/62796j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BEE.154&law_suit_year=2565&deed_no=62796&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
3 - 1,ผบE.5344/2566,35002,ที่ดินว่างเปล่า,73,2,13,สระพัฒนา,กำแพงแสน,นครปฐม,50000,ปลอดภาระผูกพัน,820950,2024-06-03,20240717,-,"['20240717', '20240807', '20240828', '20240918', '20241009', '20241030']",1,0,820950,https://asset.led.go.th/PPKPicture/2567/04-2567/30/35002p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/35002j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.5344&law_suit_year=2566&deed_no=35002&addrno=-
3 - 1,กค.102/2561,6268,ที่ดินพร้อมสิ่งปลูกสร้าง,68,1,5,กระทุ่มล้ม,ตลาดใหม่,นครไชยศรี,5000000,ปลอดการจำนอง,59455500,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,59455500,https://asset.led.go.th/PPKPicture/2567/03-2567/27/6268p_2.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/6268j_2.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%A1%A4.102&law_suit_year=2561&deed_no=6268&addrno=99
3 - 1,02023/2546,13144,ที่ดินว่างเปล่า,40,0,3,วัดละมุด,นครชัยศรี,นครปฐม,25000,ปลอดการจำนอง,471000,2024-06-03,20240619,-,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,1,423900,https://asset.led.go.th/PPKPicture/2567/02-2567/29/13144p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/13144j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=02023&law_suit_year=2546&deed_no=13144&addrno=-
3 - 1,กค.102/2561,95111,ที่ดินว่างเปล่า,28,1,0,กระทุ่มล้ม,สามพราน,นครปฐม,5000000,ปลอดการจำนอง,59455500,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,59455500,https://asset.led.go.th/PPKPicture/2567/03-2567/27/6268p_2.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/6268j_2.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%A1%A4.102&law_suit_year=2561&deed_no=95111&addrno=-
3 - 1,พE.154/2565,128207,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,1,ไร่ขิง,สามพราน,นครปฐม,1000000,ปลอดการจำนอง,20803074,2024-06-03,20240605,งดขายในนัดที่เหลือ,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,0,20803074,https://asset.led.go.th/PPKPicture/2567/01-2567/30/62796p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/62796j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BEE.154&law_suit_year=2565&deed_no=128207&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
3 - 1,ผบE.733/2564,146580,ที่ดินว่างเปล่า,21.8,0,0,ตาก้อง,เมืองนครปฐม,นครปฐม,5000,การจำนองติดไป,686280,2024-06-03,20240619,ขายได้,"['20240330', '20240417', '20240508', '20240529', '20240619', '20240710']",5,0,686280,https://asset.led.go.th/PPKPicture/2566/12-2566/26/146579p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/26/146579j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.733&law_suit_year=2564&deed_no=146580&addrno=-
3 - 1,ผบE.733/2564,146581,ที่ดินว่างเปล่า,30.8,0,0,ตาก้อง,เมืองนครปฐม,นครปฐม,5000,การจำนองติดไป,686280,2024-06-03,20240619,ขายได้,"['20240330', '20240417', '20240508', '20240529', '20240619', '20240710']",5,0,686280,https://asset.led.go.th/PPKPicture/2566/12-2566/26/146579p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/26/146579j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.733&law_suit_year=2564&deed_no=146581&addrno=-
3 - 1,พE.154/2565,128208,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,1,ไร่ขิง,สามพราน,นครปฐม,1000000,ปลอดการจำนอง,20803074,2024-06-03,20240605,งดขายในนัดที่เหลือ,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,0,20803074,https://asset.led.go.th/PPKPicture/2567/01-2567/30/62796p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/62796j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BEE.154&law_suit_year=2565&deed_no=128208&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
3 - 1,กค.102/2561,45389,ที่ดินว่างเปล่า,44,0,1,กระทุ่มล้ม,สามพราน(ตลาดใหม่),นครปฐม(นครชัยศรี),5000000,ปลอดการจำนอง,59455500,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,59455500,https://asset.led.go.th/PPKPicture/2567/03-2567/27/6268p_2.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/6268j_2.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%A1%A4.102&law_suit_year=2561&deed_no=45389&addrno=-
3 - 1,ผบE.733/2564,146582,ที่ดินว่างเปล่า,0.6,1,0,ตาก้อง,เมืองนครปฐม,นครปฐม,5000,การจำนองติดไป,686280,2024-06-03,20240619,ขายได้,"['20240330', '20240417', '20240508', '20240529', '20240619', '20240710']",5,0,686280,https://asset.led.go.th/PPKPicture/2566/12-2566/26/146579p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/26/146579j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.733&law_suit_year=2564&deed_no=146582&addrno=-
4 - 1,1497/2543,964,ที่ดินว่างเปล่า,4,0,0,กำแพงแสน,กำแพงแสน,นครปฐม,50000,ปลอดการจำนอง,1047600,2024-06-03,20240612,-,"['20240612', '20240703', '20240724', '20240814', '20240904', '20240925']",1,0,1047600,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/27/964j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1497&law_suit_year=2543&deed_no=964&addrno=-
4 - 1,ผบ.398/2566,88062,ที่ดินพร้อมสิ่งปลูกสร้าง,27,1,1,ตลาดจินดา,สามพราน,นครปฐม,250000,ปลอดการจำนอง,3764255,2024-06-03,20240717,-,"['20240717', '20240807', '20240828', '20240918', '20241009', '20241030']",1,0,3764255,https://asset.led.go.th/PPKPicture/2567/04-2567/30/88062p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/88062j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.398&law_suit_year=2566&deed_no=88062&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
4 - 1,ผบE.6065/2565,125169,ห้องชุด,33.11,0,0,สนามจันทร์,เมืองนครปฐม,นครปฐม,50000,ปลอดการจำนอง,864998,2024-06-03,20240612,ขายได้,"['20240228', '20240320', '20240410', '20240501', '20240521', '20240612']",6,3,605498,https://asset.led.go.th/PPKPicture/2566/11-2566/29/c164-208p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/29/c164-208j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.6065&law_suit_year=2565&deed_no=125169&addrno=164/208
4 - 1,ผบE.95/2566,114574,ที่ดินพร้อมสิ่งปลูกสร้าง,16,0,0,ไร่ขิง,สามพราน,นครปฐม,5000,การจำนองติดไป,514820,2024-06-03,20240619,ถอนการยึด,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,0,514820,https://asset.led.go.th/PPKPicture/2567/02-2567/29/114574p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/114574j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.95&law_suit_year=2566&deed_no=114574&addrno=75/340
4 - 1,ผบ.3204/2563,57308,ที่ดินพร้อมสิ่งปลูกสร้าง,23.9,0,0,ลานตากฟ้า,นครชัยศรี,นครปฐม,150000,ปลอดการจำนอง,1146346,2024-06-03,20240619,-,"['20240330', '20240417', '20240508', '20240529', '20240619', '20240710']",5,3,802442,https://asset.led.go.th/PPKPicture/2566/12-2566/26/57308p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/26/57308j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3204&law_suit_year=2563&deed_no=57308&addrno=60/372
