sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
38 - 1,ผบE.2468/2565,1192,ที่ดินพร้อมสิ่งปลูกสร้าง,21,0,0,เขาพระงาม,เมืองลพบุรี,ลพบุรี,10000,การจำนองติดไป,475300,2024-06-03,20240611,-,"['20240409', '20240430', '20240521', '20240611', '20240702', '20240723']",4,3,332710,https://asset.led.go.th/PPKPicture/2567/01-2567/10/1192p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/10/1192j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2468&law_suit_year=2565&deed_no=1192&addrno=139/7
38 - 1,ผบ.911/2563,482,ที่ดินพร้อมสิ่งปลูกสร้าง,84.8,0,0,ถนนใหญ่,เมืองลพบุรี,ลพบุรี,150000,ปลอดการจำนอง,2225765,2024-06-03,20240730,-,"['20240730', '20240820', '20240910', '20241001', '20241022', '20241112']",1,0,2225765,https://asset.led.go.th/PPKPicture/2567/05-2567/01/482p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/01/482j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.911&law_suit_year=2563&deed_no=482&addrno=272/149
38 - 1,ผบ.149/2556,36732,ที่ดินพร้อมสิ่งปลูกสร้าง,0,1,0,สายห้วยแก้ว,บ้านหมี่,ลพบุรี,25000,ปลอดภาระผูกพัน,328110,2024-06-03,20240611,-,"['20240521', '20240611', '20240702', '20240723', '20240813', '20240903']",2,1,295299,https://asset.led.go.th/PPKPicture/2567/02-2567/21/36732p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/21/36732j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.149&law_suit_year=2556&deed_no=36732&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
38 - 1,ผบ.463/2558,30523,ที่ดินพร้อมสิ่งปลูกสร้าง,93.4,0,0,ป่าตาล(ท่าหิน),เมืองลพบุรี,ลพบุรี,150000,ปลอดการจำนอง,2784895,2024-06-03,20240604,งดขาย,"['20240423', '20240514', '20240604', '20240625', '20240716', '20240806']",3,0,2784895,https://asset.led.go.th/PPKPicture/2567/01-2567/25/30523p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/25/30523j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.463&law_suit_year=2558&deed_no=30523&addrno=228/1,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
38 - 1,ผบ.149/2556,36732,ที่ดินพร้อมสิ่งปลูกสร้าง,0,1,0,สายห้วยแก้ว,บ้านหมี่,ลพบุรี,25000,ปลอดภาระผูกพัน,328110,2024-06-03,20240611,-,"['20240521', '20240611', '20240702', '20240723', '20240813', '20240903']",2,1,295299,https://asset.led.go.th/PPKPicture/2567/02-2567/21/36732p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/21/36732j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.149&law_suit_year=2556&deed_no=36732&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9
38 - 1,ผบ.5382/2562,39378,ที่ดินว่างเปล่า,9,1,0,ห้วยโป่ง,โคกสำโรง,ลพบุรี,5000,การจำนองติดไป,21800,2024-06-03,20240604,-,"['20240604', '20240625', '20240716', '20240806', '20240827', '20240917']",1,0,21800,https://asset.led.go.th/PPKPicture/2567/03-2567/07/39378p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/07/39378j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.5382&law_suit_year=2562&deed_no=39378&addrno=-
38 - 1,ผบ.2569/2562,13376,ที่ดินพร้อมสิ่งปลูกสร้าง,86,0,0,โคกสำโรง,โคกสำโรง,ลพบุรี,50000,ปลอดการจำนอง,622390,2024-06-03,20240604,-,"['20240220', '20240312', '20240402', '20240423', '20240514', '20240604']",6,3,435673,https://asset.led.go.th/PPKPicture/2566/11-2566/22/13376p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/22/13376j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2569&law_suit_year=2562&deed_no=13376&addrno=231/8
38 - 1,ผบ.2569/2562,13372,ที่ดินว่างเปล่า,39,0,0,โคกสำโรง,โคกสำโรง,ลพบุรี,50000,ปลอดการจำนอง,622390,2024-06-03,20240604,-,"['20240220', '20240312', '20240402', '20240423', '20240514', '20240604']",6,3,435673,https://asset.led.go.th/PPKPicture/2566/11-2566/22/13372p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/22/13372j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2569&law_suit_year=2562&deed_no=13372&addrno=-
38 - 1,ผบ.463/2558,30524,ที่ดินพร้อมสิ่งปลูกสร้าง,99.2,0,0,ป่าตาล(ท่าหิน),เมืองลพบุรี,ลพบุรี,150000,ปลอดการจำนอง,2784895,2024-06-03,20240604,งดขาย,"['20240423', '20240514', '20240604', '20240625', '20240716', '20240806']",3,0,2784895,https://asset.led.go.th/PPKPicture/2567/01-2567/25/30524p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/25/30524j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.463&law_suit_year=2558&deed_no=30524&addrno=228/1,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9"
39 - 1,ผบ.739/2558,4418,ที่ดินพร้อมสิ่งปลูกสร้าง,1,1,0,เขาพระงาม,เมืองลพบุรี,ลพบุรี,50000,ปลอดการจำนอง,881750,2024-06-03,20240604,งดการบังคับคดี,"['20240423', '20240514', '20240604', '20240625', '20240716', '20240806']",3,0,881750,https://asset.led.go.th/PPKPicture/2567/01-2567/25/4418p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/25/4418j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.739&law_suit_year=2558&deed_no=4418&addrno=109/9
