sell_order,case_id,type,size2,size1,size0,eva_price,tumbon,aumper,province,deed_number,pay_down,sell_table,status,max_price,announce_date,img,link,page,lat,lon,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,timestamp
3 - 1,ผบ.574/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,16.0,740245.0,ระแหง,ลาดหลุมแก้ว,ปทุมธานี,20579,50000.0,"{'1': {'date': '30/01/2567', 'sta': 'ขายได้'}, '2': {'date': '20/02/2567', 'sta': 'ขายได้'}, '3': {'date': '12/03/2567', 'sta': 'ขายได้'}, '4': {'date': '02/04/2567', 'sta': 'ขายได้'}, '5': {'date': '23/04/2567', 'sta': 'ขายได้'}, '6': {'date': '14/05/2567', 'sta': 'ขายได้'}}",ปลอดการจำนอง,740245.0,09-12-2566,"['https://asset.led.go.th/PPKPicture/2566/11-2566/30/20579p.jpg', 'https://asset.led.go.th/PPKPicture/2566/11-2566/30/20579j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.574&law_suit_year=2565&deed_no=20579&addrno=199/82,11/1,,,20240514.0,ขายได้,"['20240130', '20240220', '20240312', '20240402', '20240423', '20240514']",6.0,0.0,740245.0,https://asset.led.go.th/PPKPicture/2566/11-2566/30/20579p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/20579j.jpg,2024-02-02
3 - 1,ผบ.5993/2562,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,17.0,677164.0,คลองพระอุดม,ลาดหลุมแก้ว,ปทุมธานี,42378,50000.0,"{'1': {'date': '28/12/2566', 'sta': '-'}, '2': {'date': '18/01/2567', 'sta': 'งดขาย'}, '3': {'date': '08/02/2567', 'sta': '-'}, '4': {'date': '29/02/2567', 'sta': '-'}, '5': {'date': '21/03/2567', 'sta': '-'}, '6': {'date': '11/04/2567', 'sta': '-'}}",ปลอดการจำนอง,677164.0,13-11-2566,"['https://asset.led.go.th/PPKPicture/2566/11-2566/02/42378p.jpg', 'https://asset.led.go.th/PPKPicture/2566/11-2566/02/42378j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.5993&law_suit_year=2562&deed_no=42378&addrno=88/110,12/1,13.9772307,100.44612341,20240411.0,-,"['20231228', '20240118', '20240208', '20240229', '20240321', '20240411']",6.0,0.0,677164.0,https://asset.led.go.th/PPKPicture/2566/11-2566/02/42378p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/02/42378j.jpg,2024-02-02
3 - 1,ผบ.390/2564,ห้องชุด,0,0,34.09,429534.0,บางปรอก,เมืองปทุมธานี,ปทุมธานี,73246,25000.0,"{'1': {'date': '30/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '21/12/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '11/01/2567', 'sta': 'ขายได้'}, '4': {'date': '01/02/2567', 'sta': 'ขายได้'}, '5': {'date': '22/02/2567', 'sta': 'ขายได้'}, '6': {'date': '14/03/2567', 'sta': 'ขายได้'}}",ปลอดการจำนอง,429534.0,19-10-2566,"['https://asset.led.go.th/PPKPicture/2566/10-2566/05/c85-44p.jpg', 'https://asset.led.go.th/PPKPicture/2566/10-2566/05/c85-44j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.390&law_suit_year=2564&deed_no=73246&addrno=85/44,13/1,14.01556142,100.51691956,20240314.0,ขายได้,"['20231130', '20231221', '20240111', '20240201', '20240222', '20240314']",6.0,2.0,343627.0,https://asset.led.go.th/PPKPicture/2566/10-2566/05/c85-44p.jpg,https://asset.led.go.th/PPKPicture/2566/10-2566/05/c85-44j.jpg,2024-02-02
3 - 1,ผบE.2610/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,16.0,662976.0,บางคูวัด,เมืองปทุมธานี,ปทุมธานี,24071,25000.0,"{'1': {'date': '24/10/2566', 'sta': 'ถอนการยึด'}, '2': {'date': '14/11/2566', 'sta': 'ถอนการยึด'}, '3': {'date': '04/12/2566', 'sta': 'ถอนการยึด'}, '4': {'date': '26/12/2566', 'sta': 'ถอนการยึด'}, '5': {'date': '16/01/2567', 'sta': 'ถอนการยึด'}, '6': {'date': '06/02/2567', 'sta': 'ถอนการยึด'}}",การจำนองติดไป,662976.0,15-09-2566,"['https://asset.led.go.th/PPKPicture/2566/09-2566/01/24071p.jpg', 'https://asset.led.go.th/PPKPicture/2566/09-2566/01/24071j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2610&law_suit_year=2565&deed_no=24071&addrno=115/662,14/1,13.95177186,100.51836944,20240206.0,ถอนการยึด,"['20231024', '20231114', '20231204', '20231226', '20240116', '20240206']",6.0,0.0,662976.0,https://asset.led.go.th/PPKPicture/2566/09-2566/01/24071p.jpg,https://asset.led.go.th/PPKPicture/2566/09-2566/01/24071j.jpg,2024-02-02
3 - 1,ผบ.2790/2560,ที่ดินว่างเปล่า,0,0,20.0,50000.0,บางกะดี,เมืองปทุมธานี,ปทุมธานี,56787,5000.0,"{'1': {'date': '29/02/2567', 'sta': '-'}, '2': {'date': '21/03/2567', 'sta': '-'}, '3': {'date': '11/04/2567', 'sta': '-'}, '4': {'date': '02/05/2567', 'sta': '-'}, '5': {'date': '23/05/2567', 'sta': '-'}, '6': {'date': '13/06/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,50000.0,13-01-2567,"['https://asset.led.go.th/PPKPicture/2566/12-2566/28/56787p.jpg', 'https://asset.led.go.th/PPKPicture/2566/12-2566/28/56787j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2790&law_suit_year=2560&deed_no=56787&addrno=-,15/1,,,20240502.0,-,"['20240229', '20240321', '20240411', '20240502', '20240523', '20240613']",4.0,0.0,50000.0,https://asset.led.go.th/PPKPicture/2566/12-2566/28/56787p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/28/56787j.jpg,2024-02-02
4 - 1,ผบE.3119/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,20.7,1649677.5,บางคูวัด,เมืองปทุมธานี,ปทุมธานี,104693,150000.0,"{'1': {'date': '24/10/2566', 'sta': 'ขายได้'}, '2': {'date': '14/11/2566', 'sta': 'ขายได้'}, '3': {'date': '04/12/2566', 'sta': 'ขายได้'}, '4': {'date': '26/12/2566', 'sta': 'ขายได้'}, '5': {'date': '16/01/2567', 'sta': 'ขายได้'}, '6': {'date': '06/02/2567', 'sta': 'ขายได้'}}",ปลอดการจำนอง,1649677.0,15-09-2566,"['https://asset.led.go.th/PPKPicture/2566/09-2566/01/104693p.jpg', 'https://asset.led.go.th/PPKPicture/2566/09-2566/01/104693j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.3119&law_suit_year=2565&deed_no=104693&addrno=345/94,16/1,13.9647894,100.47740106,20240206.0,ขายได้,"['20231024', '20231114', '20231204', '20231226', '20240116', '20240206']",6.0,0.0,1649677.0,https://asset.led.go.th/PPKPicture/2566/09-2566/01/104693p.jpg,https://asset.led.go.th/PPKPicture/2566/09-2566/01/104693j.jpg,2024-02-02
4 - 1,ผบE.1867/2566,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,16.0,525700.0,ระแหง,ลาดหลุมแก้ว,ปทุมธานี,17928,50000.0,"{'1': {'date': '29/02/2567', 'sta': '-'}, '2': {'date': '21/03/2567', 'sta': '-'}, '3': {'date': '11/04/2567', 'sta': '-'}, '4': {'date': '02/05/2567', 'sta': '-'}, '5': {'date': '23/05/2567', 'sta': '-'}, '6': {'date': '13/06/2567', 'sta': '-'}}",ปลอดการจำนอง,525700.0,13-01-2567,"['https://asset.led.go.th/PPKPicture/2566/12-2566/28/17928p.jpg', 'https://asset.led.go.th/PPKPicture/2566/12-2566/28/17928j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1867&law_suit_year=2566&deed_no=17928&addrno=188/5,17/1,,,20240502.0,-,"['20240229', '20240321', '20240411', '20240502', '20240523', '20240613']",4.0,0.0,525700.0,https://asset.led.go.th/PPKPicture/2566/12-2566/28/17928p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/28/17928j.jpg,2024-02-02
4 - 1,ผบE.1253/2564,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,20.9,1095371.3,บางพูน,เมืองปทุมธานี,ปทุมธานี,88777,150000.0,"{'1': {'date': '30/11/2566', 'sta': '-'}, '2': {'date': '21/12/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '11/01/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '01/02/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '22/02/2567', 'sta': 'ขายได้'}, '6': {'date': '14/03/2567', 'sta': 'ขายได้'}}",ปลอดการจำนอง,1095371.0,19-10-2566,"['https://asset.led.go.th/PPKPicture/2566/10-2566/05/88777p.jpg', 'https://asset.led.go.th/PPKPicture/2566/10-2566/05/88777j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1253&law_suit_year=2564&deed_no=88777&addrno=601/175,18/1,13.98287346,100.57279167,20240314.0,ขายได้,"['20231130', '20231221', '20240111', '20240201', '20240222', '20240314']",6.0,3.0,766759.0,https://asset.led.go.th/PPKPicture/2566/10-2566/05/88777p.jpg,https://asset.led.go.th/PPKPicture/2566/10-2566/05/88777j.jpg,2024-02-02
4 - 1,ผบ.6010/2562,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,28.9,1280348.18,บางพูน,เมืองปทุมธานี,ปทุมธานี,88932,5000.0,"{'1': {'date': '28/12/2566', 'sta': 'ถอนการยึด'}, '2': {'date': '18/01/2567', 'sta': 'ถอนการยึด'}, '3': {'date': '08/02/2567', 'sta': 'ถอนการยึด'}, '4': {'date': '29/02/2567', 'sta': 'ถอนการยึด'}, '5': {'date': '21/03/2567', 'sta': 'ถอนการยึด'}, '6': {'date': '11/04/2567', 'sta': 'ถอนการยึด'}}",การจำนองติดไป,1280348.0,13-11-2566,"['https://asset.led.go.th/PPKPicture/2566/11-2566/02/88932p.jpg', 'https://asset.led.go.th/PPKPicture/2566/11-2566/02/88932j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.6010&law_suit_year=2562&deed_no=88932&addrno=601/330,19/1,13.98277997,100.57536139,20240411.0,ถอนการยึด,"['20231228', '20240118', '20240208', '20240229', '20240321', '20240411']",6.0,0.0,1280348.0,https://asset.led.go.th/PPKPicture/2566/11-2566/02/88932p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/02/88932j.jpg,2024-02-02
4 - 1,ผบ.3811/2563,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,17.0,900600.0,บ้านฉาง,เมืองปทุมธานี,ปทุมธานี,49408,50000.0,"{'1': {'date': '30/01/2567', 'sta': 'งดขาย'}, '2': {'date': '20/02/2567', 'sta': '-'}, '3': {'date': '12/03/2567', 'sta': '-'}, '4': {'date': '02/04/2567', 'sta': '-'}, '5': {'date': '23/04/2567', 'sta': '-'}, '6': {'date': '14/05/2567', 'sta': '-'}}",การจำนองติดไป,900600.0,09-12-2566,"['https://asset.led.go.th/PPKPicture/2566/11-2566/30/49408p.jpg', 'https://asset.led.go.th/PPKPicture/2566/11-2566/30/49408j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3811&law_suit_year=2563&deed_no=49408&addrno=60/72,20/1,,,20240514.0,-,"['20240130', '20240220', '20240312', '20240402', '20240423', '20240514']",6.0,0.0,900600.0,https://asset.led.go.th/PPKPicture/2566/11-2566/30/49408p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/49408j.jpg,2024-02-02
