sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
2 - 1,ผบE.257/2566,191757,ที่ดินพร้อมสิ่งปลูกสร้าง,19.9,0,0,โสนลอย,บางบัวทอง,นนทบุรี,150000,ปลอดการจำนอง,1382424,2024-06-03,20240606,ขายได้,"['20240314', '20240404', '20240425', '20240516', '20240606', '20240627']",5,0,1382424,https://asset.led.go.th/PPKPicture/2567/01-2567/15/191757p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/15/191757j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.257&law_suit_year=2566&deed_no=191757&addrno=311/223
2 - 1,ผบE.1340/2566,100678,ที่ดินพร้อมสิ่งปลูกสร้าง,17.5,0,0,บางม่วง,บางใหญ่,นนทบุรี,25000,การจำนองติดไป,1461010,2024-06-03,20240620,ถอนการยึด,"['20240328', '20240418', '20240509', '20240530', '20240620', '20240711']",5,0,1461010,https://asset.led.go.th/PPKPicture/2567/01-2567/23/100678p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/23/100678j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1340&law_suit_year=2566&deed_no=100678&addrno=58/168
2 - 1,ผบE.2342/2565,46077,ที่ดินพร้อมสิ่งปลูกสร้าง,20,0,0,บางรักพัฒนา (บางแพรก),บางบัวทอง,นนทบุรี,150000,ปลอดการจำนอง,1316800,2024-06-03,20240613,ขายได้,"['20240229', '20240321', '20240411', '20240502', '20240523', '20240613']",6,1,1185120,https://asset.led.go.th/PPKPicture/2566/12-2566/27/46077p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/27/46077j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2342&law_suit_year=2565&deed_no=46077&addrno=55/150
2 - 1,ผบ.1121/2563,8843,ห้องชุด,29.04,0,0,ไทรม้า,เมืองนนทบุรี,นนทบุรี,150000,ปลอดการจำนอง,1934064,2024-06-03,20240704,-,"['20240704', '20240725', '20240815', '20240905', '20240926', '20241017']",1,0,1934064,https://asset.led.go.th/PPKPicture/2567/05-2567/03/c159-448p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/03/c159-448j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1121&law_suit_year=2563&deed_no=8843&addrno=159/448
2 - 1,ผบ.15462/2562,"20001, 36129, 53291",ห้องชุด,34.35,0,0,บางกรวย,บางกรวย(บางใหญ่)บางกรวย,นนทบุรี,150000,ปลอดการจำนอง,1557517,2024-06-03,20240606,-,"['20240516', '20240606', '20240627', '20240718', '20240808', '20240829']",2,0,1557517,https://asset.led.go.th/PPKPicture/2567/03-2567/12/c119-25p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/12/c119-25j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.15462&law_suit_year=2562&deed_no=20001,%2036129,%2053291&addrno=119/25"
2 - 1,ผบ.2364/2565,134122,ห้องชุด,28.4,0,0,บางพัง(สีกัน),ปากเกร็ด(ตลาดขวัญ),นนทบุรี,25000,ปลอดภาระผูกพัน,420320,2024-06-03,20240725,-,"['20240725', '20240815', '20240905', '20240926', '20241017', '20241107']",1,0,420320,https://asset.led.go.th/PPKPicture/2567/05-2567/24/c4-457p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/24/c4-457j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2364&law_suit_year=2565&deed_no=134122&addrno=4/457
3 - 1,ผบE.2706/2565,241765,ที่ดินพร้อมสิ่งปลูกสร้าง,28.9,0,0,บางไผ่,เมืองนนทบุรี,นนทบุรี,150000,ปลอดการจำนอง,2318400,2024-06-03,20240606,-,"['20240425', '20240516', '20240606', '20240627', '20240718', '20240808']",3,0,2318400,https://asset.led.go.th/PPKPicture/2567/02-2567/20/241765p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/20/241765j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2706&law_suit_year=2565&deed_no=241765&addrno=157/141
3 - 1,ผบ.2470/2556,95477,ที่ดินพร้อมสิ่งปลูกสร้าง,39.8,0,0,บางรักพัฒนา,บางบัวทอง,นนทบุรี,25000,การจำนองติดไป,2150560,2024-06-03,20240606,ถอนการยึด,"['20240314', '20240404', '20240425', '20240516', '20240606', '20240627']",5,0,2150560,https://asset.led.go.th/PPKPicture/2567/01-2567/15/95477p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/15/95477j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2470&law_suit_year=2556&deed_no=95477&addrno=198/7
3 - 1,ผบ.761/2560,13058,ห้องชุด,35,0,0,บางเขน (สวนใหญ่),เมืองนนทบุรี (ตลาดขวัญ),นนทบุรี,50000,ปลอดการจำนอง,560000,2024-06-03,20240620,-,"['20240328', '20240418', '20240509', '20240530', '20240620', '20240711']",5,0,560000,https://asset.led.go.th/PPKPicture/2567/01-2567/23/13058p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/23/13058j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.761&law_suit_year=2560&deed_no=13058&addrno=199/97
3 - 1,ผบ.7639/2562,133137,ที่ดินพร้อมสิ่งปลูกสร้าง,16,0,0,บางรักพัฒนา,บางบัวทอง,นนทบุรี,50000,ปลอดการจำนอง,829200,2024-06-03,20240613,ขายได้,"['20240229', '20240321', '20240411', '20240502', '20240523', '20240613']",6,0,829200,https://asset.led.go.th/PPKPicture/2566/12-2566/27/133137p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/27/133137j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.7639&law_suit_year=2562&deed_no=133137&addrno=63/253
