sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
3 - 1,ผบ.4937/2562,44872,ที่ดินพร้อมสิ่งปลูกสร้าง,20,0,0,หนองหงษ์,พานทอง,ชลบุรี,10000,การจำนองติดไป,1335840,2024-06-03,20240625,-,"['20240625', '20240716', '20240806', '20240827', '20240917', '20241008']",1,0,1335840,https://asset.led.go.th/PPKPicture/2567/04-2567/18/44872p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/18/44872j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4937&law_suit_year=2562&deed_no=44872&addrno=124/276
3 - 1,ผบE.4035/2564,78516,ที่ดินพร้อมสิ่งปลูกสร้าง,29,0,0,สุรศักดิ์,ศรีราชา,ชลบุรี,10000,การจำนองติดไป,479480,2024-06-03,20240618,ถอนการยึด,"['20240528', '20240618', '20240709', '20240730', '20240820', '20240910']",2,0,479480,https://asset.led.go.th/PPKPicture/2567/03-2567/21/78516p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/21/78516j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.4035&law_suit_year=2564&deed_no=78516&addrno=179/34
3 - 1,ผบE.9601/2565,"179490, 179493, 179494",ห้องชุด,24.42,0,0,บ้านสวน,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,886368,2024-06-03,20240730,-,"['20240730', '20240820', '20240910', '20241001', '20241022', '20241112']",1,0,886368,https://asset.led.go.th/PPKPicture/2567/05-2567/15/c305-165p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/15/c305-165j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.9601&law_suit_year=2565&deed_no=179490,%20179493,%20179494&addrno=305/165"
3 - 1,ผบ.8403/2560,37177,ที่ดินพร้อมสิ่งปลูกสร้าง,43,0,0,บ้านบึง,บ้านบึง,ชลบุรี,10000,การจำนองติดไป,627360,2024-06-03,20240611,-,"['20240430', '20240521', '20240611', '20240702', '20240723', '20240813']",3,2,501888,https://asset.led.go.th/PPKPicture/2567/02-2567/16/37177p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/16/37177j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.8403&law_suit_year=2560&deed_no=37177&addrno=30
3 - 1,ผบ.2666/2563,28596,ที่ดินพร้อมสิ่งปลูกสร้าง,30,0,0,บ้านบึง,บ้านบึง,ชลบุรี,10000,การจำนองติดไป,607440,2024-06-03,20240618,-,"['20240326', '20240412', '20240507', '20240528', '20240618', '20240709']",5,3,425208,https://asset.led.go.th/PPKPicture/2567/01-2567/17/28596p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/17/28596j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2666&law_suit_year=2563&deed_no=28596&addrno=75/50
3 - 1,ผบ.2206/2559,42629,ที่ดินพร้อมสิ่งปลูกสร้าง,24,0,0,บ้านสวน,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,424224,2024-06-03,20240611,ขายได้,"['20240227', '20240319', '20240409', '20240430', '20240521', '20240611']",6,0,424224,https://asset.led.go.th/PPKPicture/2566/12-2566/18/42629p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/18/42629j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2206&law_suit_year=2559&deed_no=42629&addrno=207/42
4 - 1,ผบ.812/2563,166265,ที่ดินพร้อมสิ่งปลูกสร้าง,60,0,0,สุรศักดิ์,ศรีราชา,ชลบุรี,10000,การจำนองติดไป,1177667,2024-06-03,20240625,-,"['20240625', '20240716', '20240806', '20240827', '20240917', '20241008']",1,0,1177667,https://asset.led.go.th/PPKPicture/2567/04-2567/18/166265p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/18/166265j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.812&law_suit_year=2563&deed_no=166265&addrno=388/80
4 - 1,ผบ.2579/2563,52305,ที่ดินพร้อมสิ่งปลูกสร้าง,43,0,0,พานทอง,พานทอง,ชลบุรี,10000,การจำนองติดไป,692104,2024-06-03,20240618,ขายได้,"['20240326', '20240412', '20240507', '20240528', '20240618', '20240709']",5,0,692104,https://asset.led.go.th/PPKPicture/2567/01-2567/17/52305p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/17/52305j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2579&law_suit_year=2563&deed_no=52305&addrno=50/11
4 - 1,ผบE.3368/2566,119981,ที่ดินพร้อมสิ่งปลูกสร้าง,16,0,0,ห้วยกะปิ,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,979912,2024-06-03,20240611,-,"['20240430', '20240521', '20240611', '20240702', '20240723', '20240813']",3,2,783929,https://asset.led.go.th/PPKPicture/2567/02-2567/16/119981p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/16/119981j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.3368&law_suit_year=2566&deed_no=119981&addrno=147/75
4 - 1,ผบE.5871/2564,136398,ที่ดินพร้อมสิ่งปลูกสร้าง,19.1,0,0,นาป่า,เมืองชลบุรี,ชลบุรี,10000,การจำนองติดไป,532036,2024-06-03,20240730,-,"['20240730', '20240820', '20240910', '20241001', '20241022', '20241112']",1,0,532036,https://asset.led.go.th/PPKPicture/2567/05-2567/15/136398p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/15/136398j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.5871&law_suit_year=2564&deed_no=136398&addrno=101/658
