sell_order,case_id,deed_number,type,size0,size1,size2,tumbon,aumper,province,pay_down,status,max_price,timestamp,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,imgGP0,imgGP1,link
2 - 1,ผบE.1236/2563,80521,ที่ดินพร้อมสิ่งปลูกสร้าง,39.6,0,0,แคราย,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,1540406,2024-06-03,20240619,งดขาย,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,0,1540406,https://asset.led.go.th/PPKPicture/2567/02-2567/29/80521p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/80521j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1236&law_suit_year=2563&deed_no=80521&addrno=174/21
2 - 1,ผบ.180/2565,61866,ที่ดินพร้อมสิ่งปลูกสร้าง,17,0,0,อ้อมน้อย,กระทุ่มแบน(ตลาดใหม่),สมุทรสาคร(นครชัยศรี),25000,การจำนองติดไป,835360,2024-06-03,20240619,-,"['20240327', '20240417', '20240508', '20240529', '20240619', '20240710']",5,3,584752,https://asset.led.go.th/PPKPicture/2566/12-2566/28/61866p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/28/61866j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.180&law_suit_year=2565&deed_no=61866&addrno=226/146
2 - 1,ผบ.563/2565,49339,ห้องชุด,24.5,0,0,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,10000,ปลอดภาระผูกพัน,186200,2024-06-03,20240626,-,"['20240626', '20240717', '20240807', '20240828', '20240918', '20241009']",1,0,186200,https://asset.led.go.th/PPKPicture/2567/03-2567/29/c15-10p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/29/c15-10j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.563&law_suit_year=2565&deed_no=49339&addrno=15/10
2 - 2,ผบ.563/2565,49339,ห้องชุด,24.5,0,0,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,10000,ปลอดภาระผูกพัน,171500,2024-06-03,20240626,-,"['20240626', '20240717', '20240807', '20240828', '20240918', '20241009']",1,0,171500,https://asset.led.go.th/PPKPicture/2567/03-2567/29/c15-134p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/29/c15-134j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.563&law_suit_year=2565&deed_no=49339&addrno=15/134
3 - 1,ผบ.2196/2561,"62341,66877,66878,66881",ห้องชุด,33.27,0,0,คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,25000,ปลอดการจำนอง,425856,2024-06-03,20240612,-,"['20240228', '20240320', '20240410', '20240501', '20240521', '20240612']",6,3,298099,https://asset.led.go.th/PPKPicture/2566/11-2566/30/c73-20p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/c73-20j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2196&law_suit_year=2561&deed_no=62341,66877,66878,66881&addrno=73/20"
3 - 1,ผบE.4441/2565,42733,ที่ดินพร้อมสิ่งปลูกสร้าง,22.8,0,0,ยกกระบัตร,บ้านแพ้ว,สมุทรสาคร,25000,การจำนองติดไป,520410,2024-06-03,20240605,-,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,2,416328,https://asset.led.go.th/PPKPicture/2567/01-2567/30/42733p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/42733j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.4441&law_suit_year=2565&deed_no=42733&addrno=188/167
3 - 1,พ.969/2559,36147,ที่ดินว่างเปล่า,0,1,0,สวนส้ม,บ้านแพ้ว,สมุทรสาคร,10000,ปลอดภาระผูกพัน,75000,2024-06-03,20240724,-,"['20240724', '20240814', '20240904', '20240925', '20241016', '20241106']",1,0,75000,https://asset.led.go.th/PPKPicture/2567/04-2567/30/36147p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/36147j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.969&law_suit_year=2559&deed_no=36147&addrno=-
3 - 1,ผบ.1069/2565,95401,ที่ดินพร้อมสิ่งปลูกสร้าง,20,0,0,พันท้ายนรสิงห์,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,1184830,2024-06-03,20240619,งดขาย,"['20240327', '20240417', '20240508', '20240529', '20240619', '20240710']",5,2,947864,https://asset.led.go.th/PPKPicture/2566/12-2566/28/95401p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/28/95401j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1069&law_suit_year=2565&deed_no=95401&addrno=77/94
3 - 1,ผบ.3826/2558,20873,ห้องชุด,25.02,0,0,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,10000,ปลอดภาระผูกพัน,112590,2024-06-03,20240626,ถอนการยึด,"['20240626', '20240717', '20240807', '20240828', '20240918', '20241009']",1,0,112590,https://asset.led.go.th/PPKPicture/2567/03-2567/29/c309-30p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/29/c309-30j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3826&law_suit_year=2558&deed_no=20873&addrno=309/30
3 - 1,ผบE.596/2563,71556,ที่ดินพร้อมสิ่งปลูกสร้าง,18,0,0,คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,1120752,2024-06-03,20240619,-,"['20240529', '20240619', '20240710', '20240731', '20240821', '20240911']",2,0,1120752,https://asset.led.go.th/PPKPicture/2567/02-2567/29/71556p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/29/71556j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.596&law_suit_year=2563&deed_no=71556&addrno=146/156
4 - 1,ผบ.309/2565,135837,ที่ดินพร้อมสิ่งปลูกสร้าง,55.9,0,0,กาหลง,เมืองสมุทรสาคร(บ้านบ่อ),สมุทรสาคร,25000,การจำนองติดไป,972854,2024-06-03,20240612,-,"['20240228', '20240320', '20240410', '20240501', '20240521', '20240612']",6,3,680997,https://asset.led.go.th/PPKPicture/2566/11-2566/30/135837p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/135837j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.309&law_suit_year=2565&deed_no=135837&addrno=22/42%20%C1.2
4 - 1,ผบ.6005/2562,"3480 ,62895 , 74758",ห้องชุด,28.61,0,0,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,1353253,2024-06-03,20240605,งดขาย,"['20240424', '20240515', '20240605', '20240626', '20240717', '20240807']",3,0,1353253,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c252-670p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/30/c252-670j.jpg,,,"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.6005&law_suit_year=2562&deed_no=3480%20,62895%20,%2074758&addrno=252/670"
4 - 1,ผบE.3808/2566,88423,ที่ดินพร้อมสิ่งปลูกสร้าง,20.1,0,0,ดอนไก่ดี,กระทุ่มแบน,สมุทรสาคร,25000,การจำนองติดไป,1361897,2024-06-03,20240626,-,"['20240626', '20240717', '20240807', '20240828', '20240918', '20241009']",1,0,1361897,https://asset.led.go.th/PPKPicture/2567/03-2567/29/88423p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/29/88423j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.3808&law_suit_year=2566&deed_no=88423&addrno=111/53
4 - 1,ผบE.2245/2565,122659,ที่ดินพร้อมสิ่งปลูกสร้าง,20.4,0,0,บางโทรัด,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,1056120,2024-06-03,20240724,-,"['20240724', '20240814', '20240904', '20240925', '20241016', '20241106']",1,0,1056120,https://asset.led.go.th/PPKPicture/2567/04-2567/30/122659p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/30/122659j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2245&law_suit_year=2565&deed_no=122659&addrno=111/115
4 - 1,ผบE.2728/2564,130057,ที่ดินพร้อมสิ่งปลูกสร้าง,31.9,0,0,โคกขาม,เมืองสมุทรสาคร,สมุทรสาคร,25000,การจำนองติดไป,1675536,2024-06-03,20240619,-,"['20240327', '20240417', '20240508', '20240529', '20240619', '20240710']",5,3,1172875,https://asset.led.go.th/PPKPicture/2566/12-2566/28/130057p.jpg,https://asset.led.go.th/PPKPicture/2566/12-2566/28/130057j.jpg,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2728&law_suit_year=2564&deed_no=130057&addrno=99/227
