sell_order,case_id,type,size2,size1,size0,eva_price,tumbon,aumper,province,deed_number,pay_down,sell_table,status,max_price,announce_date,img,link,page,lat,lon,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,timestamp,img1
189 - 1,ผบE.3145/2565,ห้องชุด,0,0,26.09,307862.0,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,"1963,1967",25000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '05/07/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,307862.0,20-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/c650-153p.jpg'],"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.3145&law_suit_year=2565&deed_no=1963,1967&addrno=650/153",26/31,13.78401627,100.65197707,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,4.0,215503.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c650-153p.jpg,2024-07-12,
190 - 1,พ.18824/2549,ห้องชุด,0,0,20.37,254625.0,คลองถนน,บางเขน,กรุงเทพมหานคร,"192001,184279",25000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '05/07/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",ปลอดการจำนอง,254625.0,20-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/c472-73p.jpg'],"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.18824&law_suit_year=2549&deed_no=192001,184279&addrno=472/73",27/31,13.89090822,100.62612932,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,4.0,178237.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c472-73p.jpg,2024-07-12,
191 - 1,29754/2540,ห้องชุด,0,0,26.25,249375.0,บางมด(ราษฎร์บูรณะ),ราษฎร์บูรณะ,กรุงเทพมหานคร,"40822, 40823, 40824, 40825, 40826, 40827, 40828",25000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขาย'}, '2': {'date': '24/05/2567', 'sta': 'งดขาย'}, '3': {'date': '14/06/2567', 'sta': 'งดขาย'}, '4': {'date': '05/07/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",ปลอดการจำนอง,249375.0,20-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/c395-38p.jpg'],"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=29754&law_suit_year=2540&deed_no=40822,%2040823,%2040824,%2040825,%2040826,%2040827,%2040828&addrno=395/38",28/31,13.6501044,100.50515038,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,1.0,224437.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c395-38p.jpg,2024-07-12,
192 - 1,ผบ.11790/2560,ห้องชุด,0,0,28.47,398580.0,บางซื่อ(บางซ่อน),ดุสิต(บางซื่อ),กรุงเทพมหานคร,"55797,55798,55799,55800,1330",25000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'ขายได้'}, '4': {'date': '05/07/2567', 'sta': 'ขายได้'}, '5': {'date': '26/07/2567', 'sta': 'ขายได้'}, '6': {'date': '16/08/2567', 'sta': 'ขายได้'}}",ปลอดการจำนอง,398580.0,20-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/c675-14p.jpg'],"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.11790&law_suit_year=2560&deed_no=55797,55798,55799,55800,1330&addrno=675/14",29/31,13.85816369,100.83298582,20240726.0,ขายได้,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,2.0,318864.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c675-14p.jpg,2024-07-12,
193 - 1,ผบ.1267/2552,ห้องชุด,0,0,25.9,336700.0,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,246969,25000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'ขายได้'}, '3': {'date': '14/06/2567', 'sta': 'ขายได้'}, '4': {'date': '05/07/2567', 'sta': 'ขายได้'}, '5': {'date': '26/07/2567', 'sta': 'ขายได้'}, '6': {'date': '16/08/2567', 'sta': 'ขายได้'}}",ปลอดการจำนอง,336700.0,20-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/c1240-1980p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1267&law_suit_year=2552&deed_no=246969&addrno=1240/1980,30/31,13.78361225,100.63293343,20240726.0,ขายได้,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,1.0,303030.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c1240-1980p.jpg,2024-07-12,
194 - 1,ผบ.8044/2562,ห้องชุด,0,0,26.0,309400.0,ทุ่งสีกัน,ดอนเมือง,กรุงเทพมหานคร,"3617,6104,6105",10000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '05/07/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",ปลอดการจำนอง,309400.0,20-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/c113-140p.jpg'],"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.8044&law_suit_year=2562&deed_no=3617,6104,6105&addrno=113/140",31/31,13.91627963,100.57705346,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,4.0,216580.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c113-140p.jpg,2024-07-12,
195 - 1,ผบE.864/2563,ห้องชุด,0,0,52.29,2039310.0,นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,29008,5000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '05/07/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",การจำนองติดไป,2039310.0,20-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/c5-96p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.864&law_suit_year=2563&deed_no=29008&addrno=5/96,32/31,13.79431647,100.65075825,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,4.0,1427517.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c5-96p.jpg,2024-07-12,
196 - 1,ผบE.654/2563,ห้องชุด,0,0,27.6,1357920.0,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,"1875,3591,34427,54350",5000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'ขายได้'}, '3': {'date': '14/06/2567', 'sta': 'ขายได้'}, '4': {'date': '05/07/2567', 'sta': 'ขายได้'}, '5': {'date': '26/07/2567', 'sta': 'ขายได้'}, '6': {'date': '16/08/2567', 'sta': 'ขายได้'}}",การจำนองติดไป,1357920.0,21-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/c602-231p.jpg'],"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.654&law_suit_year=2563&deed_no=1875,3591,34427,54350&addrno=602/231",33/31,13.75126571,100.59088676,20240726.0,ขายได้,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,1.0,1222128.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c602-231p.jpg,2024-07-12,
197 - 1,ผบE.7385/2565,ห้องชุด,0,0,30.88,1846624.0,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,1991,5000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '05/07/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",การจำนองติดไป,1846624.0,20-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/c89-558p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.7385&law_suit_year=2565&deed_no=1991&addrno=89/558,34/31,13.75090044,100.63738646,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,4.0,1292636.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c89-558p.jpg,2024-07-12,
198 - 1,ผบE.2573/2565,ห้องชุด,0,0,31.51,688968.5,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,"118917,136984,137642",5000.0,"{'1': {'date': '03/05/2567', 'sta': 'ขายได้'}, '2': {'date': '24/05/2567', 'sta': 'ขายได้'}, '3': {'date': '14/06/2567', 'sta': 'ขายได้'}, '4': {'date': '05/07/2567', 'sta': 'ขายได้'}, '5': {'date': '26/07/2567', 'sta': 'ขายได้'}, '6': {'date': '16/08/2567', 'sta': 'ขายได้'}}",การจำนองติดไป,688968.0,21-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/c414-248p.jpg'],"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2573&law_suit_year=2565&deed_no=118917,136984,137642&addrno=414/248",35/31,13.89154924,100.88152146,20240726.0,ขายได้,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,0.0,688968.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/c414-248p.jpg,2024-07-12,
