sell_order,case_id,type,size2,size1,size0,eva_price,tumbon,aumper,province,deed_number,pay_down,sell_table,status,max_price,announce_date,img,link,page,lat,lon,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,timestamp,img1
1 - 1,พ.334/2563,ที่ดินพร้อมสิ่งปลูกสร้าง,2,0,51.0,53263400.0,วังทองหลาง,วังทองหลาง,กรุงเทพฯ,1162,5000000.0,"{'1': {'date': '27/04/2567', 'sta': 'ขายได้'}, '2': {'date': '18/05/2567', 'sta': 'ขายได้'}, '3': {'date': '08/06/2567', 'sta': 'ขายได้'}, '4': {'date': '29/06/2567', 'sta': 'ขายได้'}, '5': {'date': '20/07/2567', 'sta': 'ขายได้'}, '6': {'date': '10/08/2567', 'sta': 'ขายได้'}}",ปลอดการจำนอง,73122430.0,27-02-2567,['https://asset.led.go.th/PPKPicture/2566/12-2566/12/1162p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.334&law_suit_year=2563&deed_no=1162&addrno=178,1/1,13.76390029,100.600889,20240720.0,ขายได้,"['20240427', '20240518', '20240608', '20240629', '20240720', '20240810']",5.0,0.0,73122430.0,https://asset.led.go.th/PPKPicture/2566/12-2566/12/1162p.jpg,2024-07-12,
1 - 1,785/2553,ที่ดินพร้อมสิ่งปลูกสร้าง,1,1,40.0,87616800.0,จอมพล,จตุจักร,กรุงเทพมหานคร,12544,10000000.0,"{'1': {'date': '21/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '12/07/2567', 'sta': '-'}, '3': {'date': '02/08/2567', 'sta': '-'}, '4': {'date': '23/08/2567', 'sta': '-'}, '5': {'date': '13/09/2567', 'sta': '-'}, '6': {'date': '04/10/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,111916800.0,22-04-2567,['https://asset.led.go.th/PPKPicture/2567/03-2567/29/12544p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=785&law_suit_year=2553&deed_no=12544&addrno=%20-,2/1,13.81133352,100.56179578,20240802.0,-,"['20240621', '20240712', '20240802', '20240823', '20240913', '20241004']",3.0,1.0,100725120.0,https://asset.led.go.th/PPKPicture/2567/03-2567/29/12544p.jpg,2024-07-12,
1 - 1,6827/2551,สิ่งปลูกสร้าง,0,0,0.0,678860200.0,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,-,20000000.0,"{'1': {'date': '24/05/2567', 'sta': 'งดขาย'}, '2': {'date': '14/06/2567', 'sta': 'งดขาย'}, '3': {'date': '05/07/2567', 'sta': 'เจ้าพนักงานงดขาย'}, '4': {'date': '26/07/2567', 'sta': '-'}, '5': {'date': '16/08/2567', 'sta': '-'}, '6': {'date': '06/09/2567', 'sta': '-'}}",ปลอดการจำนอง,678860200.0,24-04-2567,['https://asset.led.go.th/newbid-old/img/null_aSset_pic.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=6827&law_suit_year=2551&deed_no=-&addrno=92,3/1,,,20240726.0,-,"['20240524', '20240614', '20240705', '20240726', '20240816', '20240906']",4.0,0.0,678860200.0,https://asset.led.go.th/newbid-old/img/null_aSset_pic.jpg,2024-07-12,
1 - 1,ผบ.4653/2562,ที่ดินพร้อมสิ่งปลูกสร้าง,3,1,0.0,62924709.6,ทุ่งสองห้อง,บางเขน(ตลาดขวัญ),กรุงเทพมหานคร,24954,5000000.0,"{'1': {'date': '28/06/2567', 'sta': 'งดขาย'}, '2': {'date': '19/07/2567', 'sta': '-'}, '3': {'date': '09/08/2567', 'sta': '-'}, '4': {'date': '30/08/2567', 'sta': '-'}, '5': {'date': '20/09/2567', 'sta': '-'}, '6': {'date': '11/10/2567', 'sta': '-'}}",ปลอดการจำนอง,62924709.0,14-05-2567,['https://asset.led.go.th/PPKPicture/2567/04-2567/11/24954p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4653&law_suit_year=2562&deed_no=24954&addrno=9/53,4/1,13.9274955,100.63344097,20240719.0,-,"['20240628', '20240719', '20240809', '20240830', '20240920', '20241011']",2.0,0.0,62924709.0,https://asset.led.go.th/PPKPicture/2567/04-2567/11/24954p.jpg,2024-07-12,
1 - 1,พE.659/2565,หุ้น,0,0,0.0,140000000.0,-,-,-,,,,,,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BEE.659&law_suit_year=2565&deed_no=-&addrno=6017188892-6157188891,5/1,,,,,,,,,,2024-07-12,
1 - 1,พ.2200/2561,ที่ดินพร้อมสิ่งปลูกสร้าง,1,0,0.0,19189184.0,หัวหมาก(หัวหมากใต้),บางกะปิ,กรุงเทพมหานคร,144752,2500000.0,"{'1': {'date': '12/07/2567', 'sta': 'ถอนการยึด'}, '2': {'date': '02/08/2567', 'sta': 'ถอนการยึด'}, '3': {'date': '23/08/2567', 'sta': 'ถอนการยึด'}, '4': {'date': '13/09/2567', 'sta': 'ถอนการยึด'}, '5': {'date': '04/10/2567', 'sta': 'ถอนการยึด'}, '6': {'date': '25/10/2567', 'sta': 'ถอนการยึด'}}",ปลอดภาระผูกพัน,48952640.0,06-06-2567,['https://asset.led.go.th/PPKPicture/2567/04-2567/30/144752p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.2200&law_suit_year=2561&deed_no=144752&addrno=43,7/1,13.74882151,100.616334,20240802.0,ถอนการยึด,"['20240712', '20240802', '20240823', '20240913', '20241004', '20241025']",2.0,0.0,48952640.0,https://asset.led.go.th/PPKPicture/2567/04-2567/30/144752p.jpg,2024-07-12,
1 - 1,พ.3403/2563,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,62.0,13189975.0,สามเสนใน(สามเสนในฝั่งเหนือ),ดุสิต(บางซื่อ),กรุงเทพมหานคร,53279,2500000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'เจ้าพนักงานงดขาย'}, '4': {'date': '05/07/2567', 'sta': 'เจ้าพนักงานงดขาย'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,41793350.0,22-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/53279p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.3403&law_suit_year=2563&deed_no=53279&addrno=69,8/1,13.84705727,100.87573213,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,2.0,33434680.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/53279p.jpg,2024-07-12,
1 - 1,มย.185/2565,ที่ดินว่างเปล่า,0,2,75.1,5914650.0,สีกัน,ดอนเมือง,กรุงเทพมหานคร,22266,500000.0,"{'1': {'date': '09/08/2567', 'sta': '-'}, '2': {'date': '30/08/2567', 'sta': '-'}, '3': {'date': '20/09/2567', 'sta': '-'}, '4': {'date': '11/10/2567', 'sta': '-'}, '5': {'date': '01/11/2567', 'sta': '-'}, '6': {'date': '22/11/2567', 'sta': '-'}}",ปลอดการจำนอง,5914650.0,09-07-2567,['https://asset.led.go.th/PPKPicture/2567/05-2567/31/22266p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.185&law_suit_year=2565&deed_no=22266&addrno=-,9/1,13.93762919,100.58333226,20240809.0,-,"['20240809', '20240830', '20240920', '20241011', '20241101', '20241122']",1.0,0.0,5914650.0,https://asset.led.go.th/PPKPicture/2567/05-2567/31/22266p.jpg,2024-07-12,
1 - 1,พ.3403/2563,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,97.0,13189975.0,สามเสนใน(สามเสนในฝั่งเหนือ),ดุสิต(บางซื่อ),กรุงเทพมหานคร,8958,2500000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'เจ้าพนักงานงดขาย'}, '4': {'date': '05/07/2567', 'sta': 'เจ้าพนักงานงดขาย'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,41793350.0,22-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/53279p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.3403&law_suit_year=2563&deed_no=8958&addrno=69,10/1,13.76107642,100.51478341,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,2.0,33434680.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/53279p.jpg,2024-07-12,
1 - 2,พE.659/2565,หุ้น,0,0,0.0,4941678.0,-,-,-,,,,,,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BEE.659&law_suit_year=2565&deed_no=-&addrno=1695058323-1700000000,11/1,,,,,,,,,,2024-07-12,
1 - 3,มย.185/2565,ที่ดินว่างเปล่า,0,2,88.3,6198450.0,สีกัน,ดอนเมือง,กรุงเทพมหานคร,22268,500000.0,"{'1': {'date': '09/08/2567', 'sta': '-'}, '2': {'date': '30/08/2567', 'sta': '-'}, '3': {'date': '20/09/2567', 'sta': '-'}, '4': {'date': '11/10/2567', 'sta': '-'}, '5': {'date': '01/11/2567', 'sta': '-'}, '6': {'date': '22/11/2567', 'sta': '-'}}",ปลอดการจำนอง,6198450.0,09-07-2567,['https://asset.led.go.th/PPKPicture/2567/05-2567/31/22268p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.185&law_suit_year=2565&deed_no=22268&addrno=-,13/1,13.93744324,100.58395219,20240809.0,-,"['20240809', '20240830', '20240920', '20241011', '20241101', '20241122']",1.0,0.0,6198450.0,https://asset.led.go.th/PPKPicture/2567/05-2567/31/22268p.jpg,2024-07-12,
1 - 4,มย.185/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,3,0.0,37198200.0,สีกัน,ดอนเมือง,กรุงเทพมหานคร,22269,5000000.0,"{'1': {'date': '09/08/2567', 'sta': '-'}, '2': {'date': '30/08/2567', 'sta': '-'}, '3': {'date': '20/09/2567', 'sta': '-'}, '4': {'date': '11/10/2567', 'sta': '-'}, '5': {'date': '01/11/2567', 'sta': '-'}, '6': {'date': '22/11/2567', 'sta': '-'}}",ปลอดการจำนอง,93142980.0,09-07-2567,['https://asset.led.go.th/PPKPicture/2567/05-2567/31/22269p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.185&law_suit_year=2565&deed_no=22269&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,14/1,13.9370747,100.58519845,20240809.0,-,"['20240809', '20240830', '20240920', '20241011', '20241101', '20241122']",1.0,0.0,93142980.0,https://asset.led.go.th/PPKPicture/2567/05-2567/31/22269p.jpg,2024-07-12,
1 - 4,มย.185/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,3,2.0,37198200.0,สีกัน,ดอนเมือง,กรุงเทพมหานคร,22270,5000000.0,"{'1': {'date': '09/08/2567', 'sta': '-'}, '2': {'date': '30/08/2567', 'sta': '-'}, '3': {'date': '20/09/2567', 'sta': '-'}, '4': {'date': '11/10/2567', 'sta': '-'}, '5': {'date': '01/11/2567', 'sta': '-'}, '6': {'date': '22/11/2567', 'sta': '-'}}",ปลอดการจำนอง,93142980.0,09-07-2567,['https://asset.led.go.th/PPKPicture/2567/05-2567/31/22270p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.185&law_suit_year=2565&deed_no=22270&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,15/1,13.93715919,100.58489074,20240809.0,-,"['20240809', '20240830', '20240920', '20241011', '20241101', '20241122']",1.0,0.0,93142980.0,https://asset.led.go.th/PPKPicture/2567/05-2567/31/22270p.jpg,2024-07-12,
1 - 4,มย.185/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,3,2.0,37198200.0,สีกัน,ดอนเมือง,กรุงเทพมหานคร,22271,5000000.0,"{'1': {'date': '09/08/2567', 'sta': '-'}, '2': {'date': '30/08/2567', 'sta': '-'}, '3': {'date': '20/09/2567', 'sta': '-'}, '4': {'date': '11/10/2567', 'sta': '-'}, '5': {'date': '01/11/2567', 'sta': '-'}, '6': {'date': '22/11/2567', 'sta': '-'}}",ปลอดการจำนอง,93142980.0,09-07-2567,['https://asset.led.go.th/PPKPicture/2567/05-2567/31/22271p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.185&law_suit_year=2565&deed_no=22271&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,16/1,13.93725045,100.58458365,20240809.0,-,"['20240809', '20240830', '20240920', '20241011', '20241101', '20241122']",1.0,0.0,93142980.0,https://asset.led.go.th/PPKPicture/2567/05-2567/31/22271p.jpg,2024-07-12,
1 - 4,มย.185/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,2,94.8,37198200.0,สีกัน,ดอนเมือง,กรุงเทพมหานคร,26770,5000000.0,"{'1': {'date': '09/08/2567', 'sta': '-'}, '2': {'date': '30/08/2567', 'sta': '-'}, '3': {'date': '20/09/2567', 'sta': '-'}, '4': {'date': '11/10/2567', 'sta': '-'}, '5': {'date': '01/11/2567', 'sta': '-'}, '6': {'date': '22/11/2567', 'sta': '-'}}",ปลอดการจำนอง,93142980.0,09-07-2567,['https://asset.led.go.th/PPKPicture/2567/05-2567/31/26770p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.185&law_suit_year=2565&deed_no=26770&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,17/1,13.93735312,100.58425813,20240809.0,-,"['20240809', '20240830', '20240920', '20241011', '20241101', '20241122']",1.0,0.0,93142980.0,https://asset.led.go.th/PPKPicture/2567/05-2567/31/26770p.jpg,2024-07-12,
2 - 1,พ.3131/2562,ที่ดินพร้อมสิ่งปลูกสร้าง,2,0,70.0,17181450.0,นวลจันทร์,บึงกุ่ม,กรุงเทพมหานคร,15820,2500000.0,"{'1': {'date': '21/06/2567', 'sta': 'ขายได้'}, '2': {'date': '12/07/2567', 'sta': 'ขายได้'}, '3': {'date': '02/08/2567', 'sta': 'ขายได้'}, '4': {'date': '23/08/2567', 'sta': 'ขายได้'}, '5': {'date': '13/09/2567', 'sta': 'ขายได้'}, '6': {'date': '04/10/2567', 'sta': 'ขายได้'}}",ปลอดภาระผูกพัน,32539380.0,22-04-2567,['https://asset.led.go.th/PPKPicture/2567/03-2567/29/15820p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.3131&law_suit_year=2562&deed_no=15820&addrno=82/5,18/1,13.84660164,100.64441527,20240802.0,ขายได้,"['20240621', '20240712', '20240802', '20240823', '20240913', '20241004']",3.0,0.0,32539380.0,https://asset.led.go.th/PPKPicture/2567/03-2567/29/15820p.jpg,2024-07-12,
2 - 1,พ.2090/2558,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,84.0,11741520.0,วังทองหลาง,บางกะปิ,กรุงเทพฯ,178783,2500000.0,"{'1': {'date': '27/04/2567', 'sta': 'โจทก์แถลงงดขาย'}, '2': {'date': '18/05/2567', 'sta': 'งดขายในนัดที่เหลือ'}, '3': {'date': '08/06/2567', 'sta': 'งดขายในนัดที่เหลือ'}, '4': {'date': '29/06/2567', 'sta': 'งดขายในนัดที่เหลือ'}, '5': {'date': '20/07/2567', 'sta': 'งดขายในนัดที่เหลือ'}, '6': {'date': '10/08/2567', 'sta': 'งดขายในนัดที่เหลือ'}}",ปลอดการจำนอง,22744320.0,27-02-2567,['https://asset.led.go.th/PPKPicture/2566/12-2566/12/178783p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.2090&law_suit_year=2558&deed_no=178783&addrno=1353,19/1,13.76904119,100.60707523,20240720.0,งดขายในนัดที่เหลือ,"['20240427', '20240518', '20240608', '20240629', '20240720', '20240810']",5.0,0.0,22744320.0,https://asset.led.go.th/PPKPicture/2566/12-2566/12/178783p.jpg,2024-07-12,
2 - 1,4712/2551,หุ้น,0,0,0.0,25000000.0,-,-,-,,,,,,,,https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=4712&law_suit_year=2551&deed_no=-&addrno=49996-74995,20/1,,,,,,,,,,2024-07-12,
2 - 1,พE.1110/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,33.9,12636160.0,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2855,2500000.0,"{'1': {'date': '26/07/2567', 'sta': '-'}, '2': {'date': '16/08/2567', 'sta': '-'}, '3': {'date': '06/09/2567', 'sta': '-'}, '4': {'date': '27/09/2567', 'sta': '-'}, '5': {'date': '18/10/2567', 'sta': '-'}, '6': {'date': '08/11/2567', 'sta': '-'}}",ปลอดการจำนอง,28146150.0,22-06-2567,['https://asset.led.go.th/PPKPicture/2567/05-2567/16/2855p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BEE.1110&law_suit_year=2565&deed_no=2855&addrno=1111/79,22/1,13.80685695,100.57733693,20240726.0,-,"['20240726', '20240816', '20240906', '20240927', '20241018', '20241108']",1.0,0.0,28146150.0,https://asset.led.go.th/PPKPicture/2567/05-2567/16/2855p.jpg,2024-07-12,
2 - 1,มย.194/2559,ห้องชุด,0,0,477.03,21016840.0,ลาดยาว,จตุจักร(บางซื่อ),กรุงเทพมหานคร,"7247,169269-169275,169290",2500000.0,"{'1': {'date': '28/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '19/07/2567', 'sta': '-'}, '3': {'date': '09/08/2567', 'sta': '-'}, '4': {'date': '30/08/2567', 'sta': '-'}, '5': {'date': '20/09/2567', 'sta': '-'}, '6': {'date': '11/10/2567', 'sta': '-'}}",ปลอดการจำนอง,23331153.0,14-05-2567,['https://asset.led.go.th/PPKPicture/2567/04-2567/11/c3322-4p.jpg'],"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.194&law_suit_year=2559&deed_no=7247,169269-169275,169290&addrno=3322/4",23/1,13.82360215,100.56013804,20240719.0,-,"['20240628', '20240719', '20240809', '20240830', '20240920', '20241011']",2.0,1.0,20998037.0,https://asset.led.go.th/PPKPicture/2567/04-2567/11/c3322-4p.jpg,2024-07-12,
2 - 1,7499/2541,ที่ดินพร้อมสิ่งปลูกสร้าง,0,1,74.0,16152000.0,สวนหลวง(บางจาก),พระโขนง,กรุงเทพมหานคร,207037,2500000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '05/07/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",ปลอดการจำนอง,30588300.0,28-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/207037p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=7499&law_suit_year=2541&deed_no=207037&addrno=57/68-72,24/1,13.71246854,100.61285725,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,4.0,21411810.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/207037p.jpg,2024-07-12,
2 - 1,มย.343/2562,ที่ดินพร้อมสิ่งปลูกสร้าง,0,1,2.0,18973880.0,สามเสนนอก(บางซื่อฝั่งใต้),บางกะปิ(บางซื่อ),กรุงเทพมหานคร,23442,2500000.0,"{'1': {'date': '24/05/2567', 'sta': 'โจทก์แถลงงดขาย'}, '2': {'date': '14/06/2567', 'sta': 'ถอนการยึด'}, '3': {'date': '05/07/2567', 'sta': 'ถอนการยึด'}, '4': {'date': '26/07/2567', 'sta': 'ถอนการยึด'}, '5': {'date': '16/08/2567', 'sta': 'ถอนการยึด'}, '6': {'date': '06/09/2567', 'sta': 'ถอนการยึด'}}",ปลอดภาระผูกพัน,25879000.0,04-04-2567,['https://asset.led.go.th/PPKPicture/2567/03-2567/18/23442p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.343&law_suit_year=2562&deed_no=23442&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,25/1,13.71246854,100.61285725,20240726.0,ถอนการยึด,"['20240524', '20240614', '20240705', '20240726', '20240816', '20240906']",4.0,0.0,25879000.0,https://asset.led.go.th/PPKPicture/2567/03-2567/18/23442p.jpg,2024-07-12,
2 - 1,พE.9/2564,ที่ดินว่างเปล่า,0,0,20.3,35607241.2,ลาดยาว,จตุจักร,กรุงเทพมหานคร,614,2500000.0,"{'1': {'date': '12/07/2567', 'sta': '-'}, '2': {'date': '02/08/2567', 'sta': '-'}, '3': {'date': '23/08/2567', 'sta': '-'}, '4': {'date': '13/09/2567', 'sta': '-'}, '5': {'date': '04/10/2567', 'sta': '-'}, '6': {'date': '25/10/2567', 'sta': '-'}}",ปลอดการจำนอง,35607241.0,07-06-2567,['https://asset.led.go.th/PPKPicture/2567/04-2567/30/614p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BEE.9&law_suit_year=2564&deed_no=614&addrno=-,26/1,13.81488149,100.58372158,20240802.0,-,"['20240712', '20240802', '20240823', '20240913', '20241004', '20241025']",2.0,0.0,35607241.0,https://asset.led.go.th/PPKPicture/2567/04-2567/30/614p.jpg,2024-07-12,
2 - 1,พE.1110/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,30.7,12636160.0,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2856,2500000.0,"{'1': {'date': '26/07/2567', 'sta': '-'}, '2': {'date': '16/08/2567', 'sta': '-'}, '3': {'date': '06/09/2567', 'sta': '-'}, '4': {'date': '27/09/2567', 'sta': '-'}, '5': {'date': '18/10/2567', 'sta': '-'}, '6': {'date': '08/11/2567', 'sta': '-'}}",ปลอดการจำนอง,28146150.0,22-06-2567,['https://asset.led.go.th/PPKPicture/2567/05-2567/16/2855p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BEE.1110&law_suit_year=2565&deed_no=2856&addrno=1111/80,27/1,13.80690843,100.57733966,20240726.0,-,"['20240726', '20240816', '20240906', '20240927', '20241018', '20241108']",1.0,0.0,28146150.0,https://asset.led.go.th/PPKPicture/2567/05-2567/16/2855p.jpg,2024-07-12,
2 - 1,พE.9/2564,ที่ดินพร้อมสิ่งปลูกสร้าง,1,0,0.0,35607241.2,ลาดยาว(บางซื่อฝั่งเหนือ),บางเขน(บางซื่อ),กรุงเทพมหานคร,134746,2500000.0,"{'1': {'date': '12/07/2567', 'sta': '-'}, '2': {'date': '02/08/2567', 'sta': '-'}, '3': {'date': '23/08/2567', 'sta': '-'}, '4': {'date': '13/09/2567', 'sta': '-'}, '5': {'date': '04/10/2567', 'sta': '-'}, '6': {'date': '25/10/2567', 'sta': '-'}}",ปลอดการจำนอง,35607241.0,07-06-2567,['https://asset.led.go.th/PPKPicture/2567/04-2567/30/134746p.jpg'],"https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BEE.9&law_suit_year=2564&deed_no=134746&addrno=80/35-6,80/24,%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D5%E8",28/1,13.80692755,100.52183749,20240802.0,-,"['20240712', '20240802', '20240823', '20240913', '20241004', '20241025']",2.0,0.0,35607241.0,https://asset.led.go.th/PPKPicture/2567/04-2567/30/134746p.jpg,2024-07-12,
2 - 1,7499/2541,ที่ดินว่างเปล่า,0,1,38.0,16152000.0,สวนหลวง(บางจาก),พระโขนง,กรุงเทพมหานคร,2140,2500000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '05/07/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",ปลอดการจำนอง,30588300.0,28-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/46868p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=7499&law_suit_year=2541&deed_no=2140&addrno=-,29/1,13.71246854,100.61285725,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,4.0,21411810.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/46868p.jpg,2024-07-12,
2 - 1,มย.343/2562,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,98.0,18973880.0,สามเสนนอก(บางซื่อฝั่งใต้),บางกะปิ(บางซื่อ),กรุงเทพมหานคร,23443,2500000.0,"{'1': {'date': '24/05/2567', 'sta': 'โจทก์แถลงงดขาย'}, '2': {'date': '14/06/2567', 'sta': 'ถอนการยึด'}, '3': {'date': '05/07/2567', 'sta': 'ถอนการยึด'}, '4': {'date': '26/07/2567', 'sta': 'ถอนการยึด'}, '5': {'date': '16/08/2567', 'sta': 'ถอนการยึด'}, '6': {'date': '06/09/2567', 'sta': 'ถอนการยึด'}}",ปลอดภาระผูกพัน,25879000.0,04-04-2567,['https://asset.led.go.th/PPKPicture/2567/03-2567/18/23442p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.343&law_suit_year=2562&deed_no=23443&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,30/1,13.77416928,100.61840945,20240726.0,ถอนการยึด,"['20240524', '20240614', '20240705', '20240726', '20240816', '20240906']",4.0,0.0,25879000.0,https://asset.led.go.th/PPKPicture/2567/03-2567/18/23442p.jpg,2024-07-12,
2 - 1,7499/2541,ที่ดินว่างเปล่า,0,0,18.0,16152000.0,สวนหลวง(บางจาก),พระโขนง,กรุงเทพมหานคร,46867,2500000.0,"{'1': {'date': '03/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '24/05/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '14/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '05/07/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '26/07/2567', 'sta': '-'}, '6': {'date': '16/08/2567', 'sta': '-'}}",ปลอดการจำนอง,30588300.0,28-03-2567,['https://asset.led.go.th/PPKPicture/2567/02-2567/29/46868p.jpg'],https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=7499&law_suit_year=2541&deed_no=46867&addrno=-,31/1,13.71020704,100.61248855,20240726.0,-,"['20240503', '20240524', '20240614', '20240705', '20240726', '20240816']",5.0,4.0,21411810.0,https://asset.led.go.th/PPKPicture/2567/02-2567/29/46868p.jpg,2024-07-12,
