sell_order,case_id,type,size2,size1,size0,eva_price,tumbon,aumper,province,deed_number,pay_down,sell_table,status,max_price,announce_date,img,link,page,lat,lon,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,timestamp
67 - 1,ผบ.2777/2563,ที่ดินว่างเปล่า,6,3,50.0,375000.0,แม่ถอด,เถิน,ลำปาง,36197,25000.0,"{'1': {'date': '24/08/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '14/09/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '05/10/2566', 'sta': 'ขายได้'}, '4': {'date': '26/10/2566', 'sta': 'ขายได้'}, '5': {'date': '16/11/2566', 'sta': 'ขายได้'}, '6': {'date': '07/12/2566', 'sta': 'ขายได้'}}",ปลอดการจำนอง,375000.0,30-06-2566,"['https://asset.led.go.th/PPKPicture/2566/06-2566/19/36197p.jpg', 'https://asset.led.go.th/PPKPicture/2566/06-2566/19/36197j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2777&law_suit_year=2563&deed_no=36197&addrno=-,48/8,17.72442905,99.22516434,20231116.0,ขายได้,"['20230824', '20230914', '20231005', '20231026', '20231116', '20231207']",5.0,2.0,300000.0,https://asset.led.go.th/PPKPicture/2566/06-2566/19/36197p.jpg,https://asset.led.go.th/PPKPicture/2566/06-2566/19/36197j.jpg,2023-11-13
67 - 1,ผบ.2594/2552,ที่ดินว่างเปล่า,1,0,66.0,129000.0,วิเชตนคร,แจ้ห่ม,ลำปาง,22065,5000.0,"{'1': {'date': '21/12/2566', 'sta': '-'}, '2': {'date': '11/01/2567', 'sta': '-'}, '3': {'date': '01/02/2567', 'sta': '-'}, '4': {'date': '22/02/2567', 'sta': '-'}, '5': {'date': '14/03/2567', 'sta': '-'}, '6': {'date': '04/04/2567', 'sta': '-'}}",การจำนองติดไป,129000.0,26-10-2566,"['https://asset.led.go.th/PPKPicture/2566/10-2566/16/22065p.jpg', 'https://asset.led.go.th/PPKPicture/2566/10-2566/16/22065j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2594&law_suit_year=2552&deed_no=22065&addrno=-,49/8,18.72992522,99.56810433,20231221.0,-,"['20231221', '20240111', '20240201', '20240222', '20240314', '20240404']",1.0,0.0,129000.0,https://asset.led.go.th/PPKPicture/2566/10-2566/16/22065p.jpg,https://asset.led.go.th/PPKPicture/2566/10-2566/16/22065j.jpg,2023-11-13
67 - 1,ผบE.523/2565,ที่ดินว่างเปล่า,2,2,86.3,162945.0,แม่มอก,เถิน,ลำปาง,52983,5000.0,"{'1': {'date': '26/10/2566', 'sta': 'งดขาย'}, '2': {'date': '16/11/2566', 'sta': '-'}, '3': {'date': '07/12/2566', 'sta': '-'}, '4': {'date': '28/12/2566', 'sta': '-'}, '5': {'date': '18/01/2567', 'sta': '-'}, '6': {'date': '08/02/2567', 'sta': '-'}}",การจำนองติดไป,162945.0,30-08-2566,"['https://asset.led.go.th/PPKPicture/2566/08-2566/21/52983p.jpg', 'https://asset.led.go.th/PPKPicture/2566/08-2566/21/52983j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.523&law_suit_year=2565&deed_no=52983&addrno=-,1/9,17.57087181,99.33309968,20231116.0,-,"['20231026', '20231116', '20231207', '20231228', '20240118', '20240208']",2.0,0.0,162945.0,https://asset.led.go.th/PPKPicture/2566/08-2566/21/52983p.jpg,https://asset.led.go.th/PPKPicture/2566/08-2566/21/52983j.jpg,2023-11-13
67 - 1,ผบE.523/2565,ที่ดินว่างเปล่า,2,2,86.3,162945.0,แม่มอก,เถิน,ลำปาง,52983,5000.0,"{'1': {'date': '26/10/2566', 'sta': 'งดขาย'}, '2': {'date': '16/11/2566', 'sta': '-'}, '3': {'date': '07/12/2566', 'sta': '-'}, '4': {'date': '28/12/2566', 'sta': '-'}, '5': {'date': '18/01/2567', 'sta': '-'}, '6': {'date': '08/02/2567', 'sta': '-'}}",การจำนองติดไป,162945.0,30-08-2566,"['https://asset.led.go.th/PPKPicture/2566/08-2566/21/52983p.jpg', 'https://asset.led.go.th/PPKPicture/2566/08-2566/21/52983j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.523&law_suit_year=2565&deed_no=52983&addrno=-,1/9,17.57087181,99.33309968,20231116.0,-,"['20231026', '20231116', '20231207', '20231228', '20240118', '20240208']",2.0,0.0,162945.0,https://asset.led.go.th/PPKPicture/2566/08-2566/21/52983p.jpg,https://asset.led.go.th/PPKPicture/2566/08-2566/21/52983j.jpg,2023-11-13
67 - 1,ผบ.391/2561,ที่ดินว่างเปล่า,0,1,0.0,135000.0,ชมพู,เมืองลำปาง,ลำปาง,187328,5000.0,"{'1': {'date': '23/11/2566', 'sta': '-'}, '2': {'date': '14/12/2566', 'sta': '-'}, '3': {'date': '04/01/2567', 'sta': '-'}, '4': {'date': '25/01/2567', 'sta': '-'}, '5': {'date': '15/02/2567', 'sta': '-'}, '6': {'date': '07/03/2567', 'sta': '-'}}",การจำนองติดไป,135000.0,27-09-2566,"['https://asset.led.go.th/PPKPicture/2566/09-2566/19/187328p.jpg', 'https://asset.led.go.th/PPKPicture/2566/09-2566/19/187328j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.391&law_suit_year=2561&deed_no=187328&addrno=-,2/9,18.24829861,99.46377423,20231123.0,-,"['20231123', '20231214', '20240104', '20240125', '20240215', '20240307']",1.0,0.0,135000.0,https://asset.led.go.th/PPKPicture/2566/09-2566/19/187328p.jpg,https://asset.led.go.th/PPKPicture/2566/09-2566/19/187328j.jpg,2023-11-13
67 - 1,ผบ.2594/2552,ที่ดินว่างเปล่า,0,1,79.0,129000.0,วิเชตนคร,แจ้ห่ม,ลำปาง,22066,5000.0,"{'1': {'date': '21/12/2566', 'sta': '-'}, '2': {'date': '11/01/2567', 'sta': '-'}, '3': {'date': '01/02/2567', 'sta': '-'}, '4': {'date': '22/02/2567', 'sta': '-'}, '5': {'date': '14/03/2567', 'sta': '-'}, '6': {'date': '04/04/2567', 'sta': '-'}}",การจำนองติดไป,129000.0,26-10-2566,"['https://asset.led.go.th/PPKPicture/2566/10-2566/16/22065p.jpg', 'https://asset.led.go.th/PPKPicture/2566/10-2566/16/22065j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2594&law_suit_year=2552&deed_no=22066&addrno=-,3/9,18.72996587,99.5688577,20231221.0,-,"['20231221', '20240111', '20240201', '20240222', '20240314', '20240404']",1.0,0.0,129000.0,https://asset.led.go.th/PPKPicture/2566/10-2566/16/22065p.jpg,https://asset.led.go.th/PPKPicture/2566/10-2566/16/22065j.jpg,2023-11-13
68 - 1,1905/2549,ที่ดินพร้อมสิ่งปลูกสร้าง,0,3,7.0,411750.0,แม่ปุ,แม่พริก,ลำปาง,10550,25000.0,"{'1': {'date': '23/11/2566', 'sta': '-'}, '2': {'date': '14/12/2566', 'sta': '-'}, '3': {'date': '04/01/2567', 'sta': '-'}, '4': {'date': '25/01/2567', 'sta': '-'}, '5': {'date': '15/02/2567', 'sta': '-'}, '6': {'date': '07/03/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,411750.0,29-09-2566,"['https://asset.led.go.th/PPKPicture/2566/09-2566/19/10550p.jpg', 'https://asset.led.go.th/PPKPicture/2566/09-2566/19/10550j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=1905&law_suit_year=2549&deed_no=10550&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,4/9,17.51379764,99.14181988,20231123.0,-,"['20231123', '20231214', '20240104', '20240125', '20240215', '20240307']",1.0,0.0,411750.0,https://asset.led.go.th/PPKPicture/2566/09-2566/19/10550p.jpg,https://asset.led.go.th/PPKPicture/2566/09-2566/19/10550j.jpg,2023-11-13
68 - 1,ผบ.3097/2557,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,30.1,616350.0,พิชัย,เมืองลำปาง,ลำปาง,85267,50000.0,"{'1': {'date': '21/12/2566', 'sta': '-'}, '2': {'date': '11/01/2567', 'sta': '-'}, '3': {'date': '01/02/2567', 'sta': '-'}, '4': {'date': '22/02/2567', 'sta': '-'}, '5': {'date': '14/03/2567', 'sta': '-'}, '6': {'date': '04/04/2567', 'sta': '-'}}",ปลอดการจำนอง,616350.0,26-10-2566,"['https://asset.led.go.th/PPKPicture/2566/10-2566/16/85267p.jpg', 'https://asset.led.go.th/PPKPicture/2566/10-2566/16/85267j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3097&law_suit_year=2557&deed_no=85267&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,5/9,18.31117849,99.52653766,20231221.0,-,"['20231221', '20240111', '20240201', '20240222', '20240314', '20240404']",1.0,0.0,616350.0,https://asset.led.go.th/PPKPicture/2566/10-2566/16/85267p.jpg,https://asset.led.go.th/PPKPicture/2566/10-2566/16/85267j.jpg,2023-11-13
68 - 1,ผบE.2279/2564,ที่ดินว่างเปล่า,0,2,35.0,70500.0,สันดอนแก้ว,แม่ทะ,ลำปาง,61651,5000.0,"{'1': {'date': '24/08/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '14/09/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '05/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '26/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '16/11/2566', 'sta': '-'}, '6': {'date': '07/12/2566', 'sta': '-'}}",ปลอดการจำนอง,70500.0,30-06-2566,"['https://asset.led.go.th/PPKPicture/2566/06-2566/19/61651p.jpg', 'https://asset.led.go.th/PPKPicture/2566/06-2566/19/61651j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2279&law_suit_year=2564&deed_no=61651&addrno=-,6/9,17.99315503,99.49449952,20231116.0,-,"['20230824', '20230914', '20231005', '20231026', '20231116', '20231207']",5.0,4.0,49350.0,https://asset.led.go.th/PPKPicture/2566/06-2566/19/61651p.jpg,https://asset.led.go.th/PPKPicture/2566/06-2566/19/61651j.jpg,2023-11-13
68 - 1,ผบE.679/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,22.0,479880.0,ต้นธงชัย,เมืองลำปาง,ลำปาง,1866,25000.0,"{'1': {'date': '26/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '16/11/2566', 'sta': '-'}, '3': {'date': '07/12/2566', 'sta': '-'}, '4': {'date': '28/12/2566', 'sta': '-'}, '5': {'date': '18/01/2567', 'sta': '-'}, '6': {'date': '08/02/2567', 'sta': '-'}}",ปลอดการจำนอง,479880.0,30-08-2566,"['https://asset.led.go.th/PPKPicture/2566/08-2566/21/1866p.jpg', 'https://asset.led.go.th/PPKPicture/2566/08-2566/21/1866j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.679&law_suit_year=2565&deed_no=1866&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,7/9,18.77428562,99.52584519,20231116.0,-,"['20231026', '20231116', '20231207', '20231228', '20240118', '20240208']",2.0,1.0,431892.0,https://asset.led.go.th/PPKPicture/2566/08-2566/21/1866p.jpg,https://asset.led.go.th/PPKPicture/2566/08-2566/21/1866j.jpg,2023-11-13
68 - 1,ผบ.5/2561,ที่ดินว่างเปล่า,0,2,5.0,82000.0,ท่าผา,เกาะคา,ลำปาง,31586,5000.0,"{'1': {'date': '28/09/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '19/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '09/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '30/11/2566', 'sta': '-'}, '5': {'date': '21/12/2566', 'sta': '-'}, '6': {'date': '11/01/2567', 'sta': '-'}}",การจำนองติดไป,82000.0,31-07-2566,"['https://asset.led.go.th/PPKPicture/2566/07-2566/17/31586p.jpg', 'https://asset.led.go.th/PPKPicture/2566/07-2566/17/31586j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.5&law_suit_year=2561&deed_no=31586&addrno=-,8/9,18.16069359,99.37588206,20231130.0,-,"['20230928', '20231019', '20231109', '20231130', '20231221', '20240111']",4.0,3.0,57399.0,https://asset.led.go.th/PPKPicture/2566/07-2566/17/31586p.jpg,https://asset.led.go.th/PPKPicture/2566/07-2566/17/31586j.jpg,2023-11-13
68 - 2,ผบE.2279/2564,ที่ดินว่างเปล่า,0,2,24.0,67200.0,สันดอนแก้ว,แม่ทะ,ลำปาง,61652,5000.0,"{'1': {'date': '24/08/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '14/09/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '05/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '26/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '16/11/2566', 'sta': '-'}, '6': {'date': '07/12/2566', 'sta': '-'}}",ปลอดการจำนอง,67200.0,30-06-2566,"['https://asset.led.go.th/PPKPicture/2566/06-2566/19/61652p.jpg', 'https://asset.led.go.th/PPKPicture/2566/06-2566/19/61652j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.2279&law_suit_year=2564&deed_no=61652&addrno=-,9/9,17.99313465,99.49507019,20231116.0,-,"['20230824', '20230914', '20231005', '20231026', '20231116', '20231207']",5.0,4.0,47040.0,https://asset.led.go.th/PPKPicture/2566/06-2566/19/61652p.jpg,https://asset.led.go.th/PPKPicture/2566/06-2566/19/61652j.jpg,2023-11-13
